id,_URI,version,submission_date,date_marked_as_complete,starttime,endtime,deviceid,subscriberid,simid,devicephonenum,starttime_str,endtime_str,original_dev,uuid_ssname,form_id,username,vsg_region,vsg_district,vsg_eacode,vsg_eacode_lb,vsg_settlement,vsg_settlement_lb,n1,consent,vsg_01_00_n,vsg_01_00_n2,vsg_01_01,vsg_01_01_other,vsg_01_02,vsg_01_02_other,vsg_01_03,vsg_01_04,vsg_01_05,vsg_01_06,vsg_01_06_other,vsg_01_07,vsg_01_07_equi,vsg_01_07_equi_n,vsg_01_08,vsg_01_09,vsg_01_10,vsg_01_10m,vsg_01_10f,vsg_01_11,vsg_01_12c,vsg_01_12,vsg_01_12_1_n1,vsg_01_12_1_n2,vsg_01_13_1_count,vsg_01_13_1,vsg_01_14,vsg_01_15,vsg_01_16,vsg_01_17,vsg_01_18,vsg_01_19,vsg_01_20,vsg_01_21,vsg_01_22,vsg_01_23,vsg_01_23_other,vsg_01_24,vsg_01_25,vsg_01_26,vsg_01_27,vsg_01_28_1_n,vsg_01_28,vsg_01_29_n,vsg_01_30,vsg_01_30_n_1,vsg_01_30_n_2,vsg_01_30_n_2a,vsg_01_30_n_2b,vsg_01_30_n_3,vsg_01_30_3_other,reserved_name_for_field_list_labels_108,vsg_01_30_n_4,vsg_01_30_n_5,vsg_01_30_n_6,vsg_01_30_n_7,vsg_03_1n,vsg_03_01c,vsg_03_01,vsg_03_01_c1,vsg_03_01_c1_other,vsg_03_01_re_count,vsg_03_01_re,vsg_03_16,vsg_03_17,vsg_03_18,vsg_03_19,vsg_03_20,vsg_03_13_min,vsg_03_13_max,vsg_03_21,vsg_03_22,vsg_03_23,vsg_03_24,vsg_03_24_n_1,vsg_03_24_n_2,vsg_03_24_n_3,vsg_03_25,vsg_03_26,vsg_03_27,vsg_03_28_n,vsg_03_29_n,vsg_03_29_n_1,vsg_03_29_n_1_other,vsg_03_29_n_2,vsg_03_29_n_2_other,vsg_03_29_n_3,vsg_03_29_n_3_other,vsg_03_30_n,vsg_03_31_n,vsg_03_31_other,vsg_03_32_n,vsg_03_33_n,vsg_03_34_n,vsg_03_34_n_7_other,vsg_03_35_note,vsg_03_35_n,vsg_03_36_n,vsg_03_37_n,vsg_03_38_n,vsg_03_39_n,vsg_03_40_n,vsg_03_40_n_1,vsg_03_5n,reserved_name_for_field_list_labels_211,vsg_03_51_n,vsg_03_52_n,vsg_03_53_n,vsg_03_54_n,vsg_03_55_n,vsg_03_56_n,vsg_03_57_n,vsg_03_58_n,vsg_03_59_n,vsg_03_60_n,vsg_03_61_n,vsg_03_61_other,vsg_04_n,vsg_04_01_n,vsg_04_02_n,vsg_04_03_n,vsg_04_04n,reserved_name_for_field_list_labels_239,vsg_04_04_n,vsg_04_05_n,vsg_04_06_n,vsg_04_07_n,vsg_04_08_n,vsg_04_09_n,vsg_04_10_n,vsg_04_11_n,reserved_name_for_field_list_labels_250,vsg_04_12_n,vsg_04_13_n,vsg_04_14_n,vsg_04_15_n,vsg_04_16_n,vsg_04_17_n,vsg_04_18_n,vsg_control_2,vsg_control_2Latitude,vsg_control_2Longitude,vsg_control_2Accuracy,vsg_control_2Altitude,vsg_control_3,vsg_control_3_other,vsg_control_4,vsg_control_5,vsg_control_5_other,save_incomplete,save_exit,instanceID,instanceName
1,uuid:2a6121d8-b5db-4c66-a64a-a365b9580dea,1607250947,"2016-08-05 00:25:50","2016-08-05 00:25:50","2016-07-29 21:33:52","2016-07-30 14:20:20",e498517eb574b26b,"","","","29/07/2016 15:33:51","",e498517eb574b26b,"ML_VSG_Village_Support_G1_29/07/2016 15:33:51","ML_VSG_Village_Support_G1_29/07/2016 15:33:51",enum036,2,8,50,71105,48,Katamina,-999999,1,-999999,-999999,1,"",3,"",2,71,71,11,"","","","",2,7,-999999,3,5,0,8,"","","","",vsg_01_13_1,4,0,8,3,8,4,1,1,2836,2,"",1,0,2,1,-999999,1,1,0,1,-999999,5,2016,"12 14 21 22 23 24 30 51 52 53 54 55","",-999999,1,1,1,1,-999999,-999999,-999999,"11 12 13 14 15 21 22 23 24 30 40 51 52 53 54 55","",16,vsg_03_01_re,2,2,0,2,2,1,2,2,0,0,0,0,0,0,50.0000000000,50.0000000000,50.0000000000,4,-999999,6,"",8,"",2,"",0,"","","","","","",-999999,1,1,1,1,1,4,"",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.5478829000,-15.2904367000,8.0000000000,30.3999996185,1,"",1,2,"",1469810961993_SIE0,1469863218787_SFE0,uuid:2a6121d8-b5db-4c66-a64a-a365b9580dea,"VSG_G1_71105_Katamina_enum036_29/07/2016 15:33:51"
2,uuid:2dbe324b-2947-4a7d-97c6-d199604f8a6e,1607250947,"2016-07-31 05:45:06","2016-07-31 05:45:06","2016-07-29 16:58:22","2016-07-31 05:42:57",E8_3A_12_33_B4_61,607029911097818,8922002030911978189,"","29/07/2016 09:58:22","",E8_3A_12_33_B4_61,"ML_VSG_Village_Support_G1_29/07/2016 09:58:22","ML_VSG_Village_Support_G1_29/07/2016 09:58:22",enum008,2,7,64,61213,61,Tamba,-999999,1,-999999,-999999,96,"Alkali,  Village health worker",1,"",1,40,40,11,"","","","",2,4,-999999,3,5,0,8,"","","","",vsg_01_13_1,2,1,8,4,8,3,1,1,27000,2,"",1,1,1,1,-999999,1,1,1,1,-999999,2,2015,"12 21 40 51 52 53 96","Danger signs in pregnancy",-999999,1,1,1,0,-999999,-999999,-999999,"12 52 54 55 60","",5,vsg_03_01_re,0,0,0,4,3,2,2,0,4,0,0,1,0,0,30.0000000000,20.0000000000,30.0000000000,4,-999999,2,"",96,"Home visitd",7,"",1,4,"",1,0,"2 4","",-999999,1,1,2,1,1,96,"Diarratul kiram",-999999,-999999,1,1,1,1,0,1,1,1,2,1,3,"",-999999,3,3,3,-999999,-999999,5,5,5,5,2,1,5,5,-999999,1,5,5,5,5,5,5,vsg_control_2,13.8101274530,-15.0320893170,10.0000000000,53.7617947124,1,"",1,3,"","1469792399230_SIE0 1469837325339_SIE0 1469901600565_SIE0",1469918575296_SFE0,uuid:2dbe324b-2947-4a7d-97c6-d199604f8a6e,"VSG_G1_61213_Tamba_enum008_29/07/2016 09:58:22"
3,uuid:3bb88407-c3d1-4356-91e4-345d7cfe7945,1607250947,"2016-08-05 00:30:29","2016-08-05 00:30:29","2016-08-02 16:19:35","2016-08-04 22:54:44",e498517eb574b26b,"","","","02/08/2016 10:19:35","",e498517eb574b26b,"ML_VSG_Village_Support_G1_02/08/2016 10:19:35","ML_VSG_Village_Support_G1_02/08/2016 10:19:35",enum036,2,12,69,72121,66,Mbayen,-999999,1,-999999,-999999,"1 96","Community Birth Companions",3,"",2,68,68,11,"","","","",4,4,-999999,2,6,0,8,"","","","",vsg_01_13_1,1,1,8,2,8,5,1,0,"","","","",0,5,1,-999999,1,1,0,1,-999999,5,2016,"12 13 14 21 30 51 52","",-999999,0,0,0,0,-999999,-999999,-999999,"12 21 30 52 54 55","",6,vsg_03_01_re,5,2,0,5,2,1,2,0,1,1,0,1,1,1,50.0000000000,30.0000000000,50.0000000000,4,-999999,2,"",1,"",6,"",1,5,"",1,0,2,"",-999999,1,1,2,1,1,4,"",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.6055446000,-15.1157885000,32.0000000000,8.6999998093,1,"",1,3,"",1470133114452_SIE0,1470326083123_SFE0,uuid:3bb88407-c3d1-4356-91e4-345d7cfe7945,"VSG_G1_72121_Mbayen_enum036_02/08/2016 10:19:35"
4,uuid:4124cbd8-a3a9-4906-9c0b-693352028243,1607250947,"2016-07-30 20:24:51","2016-07-30 20:24:51","2016-07-29 00:46:33","2016-07-30 03:12:45",dbacd217d798a645,"","","","28/07/2016 17:46:33","",dbacd217d798a645,"ML_VSG_Village_Support_G1_28/07/2016 17:46:33","ML_VSG_Village_Support_G1_28/07/2016 17:46:33",enum033,3,2,12,50225,11,"SAMBA KALA",-999999,1,-999999,-999999,8,"",3,"",1,65,51,96,Darra,"","","",2,10,-999999,3,5,0,8,"","","","",vsg_01_13_1,4,1,8,2,8,3,1,0,"","","","",0,2,1,-999999,1,1,1,1,-999999,6,2016,"11 12 13 14 15 21 23 51 52 54 55","",-999999,1,1,1,0,-999999,-999999,-999999,"12 14 21","",3,vsg_03_01_re,8,0,0,1,1,1,1,1,1,0,0,0,0,0,30.0000000000,50.0000000000,50.0000000000,3,-999999,7,"",6,"",3,"",1,3,"",0,0,1,"",-999999,1,1,2,1,1,6,"",-999999,-999999,1,1,1,1,1,1,1,0,2,0,96,"Nothing yet...The contract was signed on the day of interview",-999999,3,3,3,-999999,-999999,5,5,5,1,5,5,5,5,-999999,2,5,5,5,5,5,5,vsg_control_2,13.5252170000,-16.3577140000,0.0000000000,0.0000000000,1,"",1,3,"",1469732740964_SIE0,1469823163939_SFE0,uuid:4124cbd8-a3a9-4906-9c0b-693352028243,"VSG_G1_50225_SAMBA KALA_enum033_28/07/2016 17:46:33"
5,uuid:46c893a3-05cc-469f-83d3-1f5c67d2fcb9,1607250947,"2016-07-29 04:39:53","2016-07-29 04:39:53","2016-07-28 18:13:40","2016-07-28 21:57:06",dbacd217d798a645,"","","","28/07/2016 11:13:39","",dbacd217d798a645,"ML_VSG_Village_Support_G1_28/07/2016 11:13:39","ML_VSG_Village_Support_G1_28/07/2016 11:13:39",enum033,3,2,11,50218,10,"NDUNGU KEBBEH",-999999,1,-999999,-999999,8,"",3,"",2,70,20,11,"","","","",2,5,-999999,3,5,0,8,"","","","",vsg_01_13_1,1,0,7,2,8,0,1,0,"","","","",0,3,1,-999999,1,1,0,1,-999999,3,2012,"12 21","",-999999,0,1,1,0,-999999,-999999,-999999,"12 22 52 55","",4,vsg_03_01_re,5,0,0,2,2,2,2,2,0,0,0,0,0,0,10.0000000000,30.0000000000,20.0000000000,4,-999999,4,"",7,"",6,"",1,1,"",0,0,2,"",-999999,1,1,2,1,0,"","",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.5418760000,-16.3200720000,0.0000000000,0.0000000000,1,"",1,3,"",1469708345082_SIE0,1469717825373_SFE0,uuid:46c893a3-05cc-469f-83d3-1f5c67d2fcb9,"VSG_G1_50218_NDUNGU KEBBEH_enum033_28/07/2016 11:13:39"
6,uuid:4802c60a-fe3f-4921-bd4a-7fb83c019c3e,1607250947,"2016-07-31 01:46:12","2016-07-31 01:46:12","2016-07-28 01:58:24","2016-07-29 23:56:05",5670330b38b8e0d7,"","","","27/07/2016 18:58:23","28/07/2016 18:11:54",5670330b38b8e0d7,"ML_VSG_Village_Support_G1_27/07/2016 18:58:23","ML_VSG_Village_Support_G1_27/07/2016 18:58:23",enum031,2,9,49,70107,47,Jisadi,-999999,1,-999999,-999999,"2 4 5 7 8","",3,"",2,53,6,11,"","","","",2,6,-999999,3,5,0,8,"","","","",vsg_01_13_1,8,1,8,4,8,3,1,0,"","","","",1,2,1,-999999,1,1,1,1,-999999,6,2016,"12 15 21 51 53 55","",-999999,1,1,1,1,-999999,-999999,-999999,"11 12 21 23 51 52 55","",7,vsg_03_01_re,20,20,6,4,8,1,1,8,0,0,0,0,0,0,25.0000000000,10.0000000000,10.0000000000,1,-999999,2,"",7,"",6,"",1,5,"",1,1,"1 5 6","",-999999,1,1,"1 2 3",1,1,4,"",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.6390233000,-15.2983869000,8.0000000000,48.2000007629,1,"",2,4,"","1469648438929_SIE0 1469728513632_SIE0 1469811328474_SIE0","1469729513477_SFE0 1469811363827_SFE0",uuid:4802c60a-fe3f-4921-bd4a-7fb83c019c3e,"VSG_G1_70107_Jisadi_enum031_27/07/2016 18:58:23"
7,uuid:b0362ab5-e76b-41a0-91d7-c685485064e3,1607250947,"2016-08-02 16:33:49","2016-08-02 16:33:49","2016-07-31 21:46:44","2016-08-01 04:42:20",60c490356470b28f,"","","","31/07/2016 15:46:43","",60c490356470b28f,"ML_VSG_Village_Support_G1_31/07/2016 15:46:43","ML_VSG_Village_Support_G1_31/07/2016 15:46:43",enum037,2,7,63,61127,60,"Maka Ali Sarr Serigne",-999999,1,-999999,-999999,96,"VSG and Village member",1,"",2,36,15,11,"","","","",2,4,-999999,3,5,0,8,"","","","",vsg_01_13_1,1,0,8,4,8,2,1,1,7500,2,"",1,1,1,1,-999999,1,1,1,1,-999999,4,2015,"11 12 13 21 24 52 54 96","To prevent miscarriage/ abortions",-999999,1,0,1,0,-999999,-999999,-999999,"12 21 22 52 96","Home visits",5,vsg_03_01_re,1,1,0,2,2,1,1,2,1,0,0,0,0,0,75.0000000000,85.0000000000,90.0000000000,1,-999999,2,"",96,"Poor road networking",4,"",1,1,"",1,0,3,"",-999999,1,1,1,1,0,"","",-999999,-999999,1,1,1,1,1,1,1,1,2,1,3,"",-999999,3,3,3,-999999,-999999,5,5,5,5,2,1,5,5,-999999,4,5,5,5,5,5,5,vsg_control_2,13.7478947200,-15.2784428800,10.0000000000,33.7999992371,1,"",1,3,"","1469983018871_SIE0 1469990358117_SIE0",1470001338745_SFE0,uuid:b0362ab5-e76b-41a0-91d7-c685485064e3,"VSG_G1_61127_Maka Ali Sarr Serigne_enum037_31/07/2016 15:46:43"
8,uuid:bbf1e3b1-b80e-4234-9ec6-b88a80a99268,1607250947,"2016-08-05 00:25:56","2016-08-05 00:25:56","2016-07-28 19:07:49","2016-07-30 14:19:00",e498517eb574b26b,"","","","28/07/2016 13:07:48","",e498517eb574b26b,"ML_VSG_Village_Support_G1_28/07/2016 13:07:48","ML_VSG_Village_Support_G1_28/07/2016 13:07:48",enum036,2,8,53,71101,51,"Sambang Mandinka Kunda",-999999,1,-999999,-999999,1,"",1,"",2,75,75,11,"","","","",2,2,-999999,3,5,0,8,"","","","",vsg_01_13_1,3,0,8,3,8,6,1,1,25300,2,"",1,1,1,1,-999999,1,1,1,1,-999999,5,2016,"11 12 51 54 55","",-999999,1,1,1,1,-999999,-999999,-999999,"11 12 13 14 21 22 23 24 30 51 52 53 54 55","",14,vsg_03_01_re,2,2,2,1,1,1,3,1,1,1,1,2,2,2,100.0000000000,100.0000000000,100.0000000000,1,-999999,2,"",6,"",5,"",1,1,"",1,0,1,"",-999999,1,1,4,1,1,4,"",-999999,-999999,1,1,1,1,1,1,1,1,1,1,1,"",-999999,3,3,3,-999999,-999999,1,1,1,1,1,1,1,1,-999999,5,1,1,1,1,1,1,vsg_control_2,13.5403943300,-15.3313858200,4.0000000000,17.8999996185,1,"",1,2,"",1469711766325_SIE0,1469863139159_SFE0,uuid:bbf1e3b1-b80e-4234-9ec6-b88a80a99268,"VSG_G1_71101_Sambang Mandinka Kunda_enum036_28/07/2016 13:07:48"
9,uuid:c8c02e30-c95e-4bfc-846e-20bd4851aa8a,1607250947,"2016-07-30 22:42:21","2016-07-30 22:42:21","2016-07-30 01:43:50","2016-07-30 22:40:57",F8_84_F2_B6_F6_A3,607029911097827,8922002030911978270,"","29/07/2016 18:43:49","",F8_84_F2_B6_F6_A3,"ML_VSG_Village_Support_G1_29/07/2016 18:43:49","ML_VSG_Village_Support_G1_29/07/2016 18:43:49",enum025,1,19,121,83217,103,Keneba,-999999,1,-999999,-999999,"1 96",Tba,3,"",2,70,30,11,"","","","",2,3,-999999,3,5,0,8,"","","","",vsg_01_13_1,0,0,0,0,0,0,0,0,"","","","",0,4,1,-999999,1,1,1,0,-999999,98,2016,"11 12 30 52","",-999999,0,0,0,0,-999999,-999999,-999999,"22 52","",2,vsg_03_01_re,10,5,8,9,4,1,2,9,0,0,0,0,0,0,5.0000000000,2.0000000000,4.0000000000,4,-999999,2,"",4,"",7,"",0,"","","","","","",-999999,1,1,2,1,0,"","",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.4397128000,-13.8575053000,16.0000000000,24.6878682794,1,"",1,2,"","1469820396836_SIE0 1469820495336_SIE0",1469893255066_SFE0,uuid:c8c02e30-c95e-4bfc-846e-20bd4851aa8a,"VSG_G1_83217_Keneba_enum025_29/07/2016 18:43:49"
10,uuid:ce4a2887-82c4-4950-8b22-522cfd3ce2e2,1607250947,"2016-07-29 18:51:25","2016-07-29 18:51:25","2016-07-28 18:56:11","2016-07-29 06:43:34",F8_84_F2_B6_F6_A3,607029911097827,8922002030911978270,"","28/07/2016 11:56:11","",F8_84_F2_B6_F6_A3,"ML_VSG_Village_Support_G1_28/07/2016 11:56:11","ML_VSG_Village_Support_G1_28/07/2016 11:56:11",enum025,1,19,123,83212,104,Koina,-999999,1,-999999,-999999,96,"Vice priesident",1,"",1,51,25,11,"","","","",2,11,-999999,3,5,0,8,"","","","",vsg_01_13_1,3,1,8,3,8,3,1,1,16000,2,"",1,1,1,1,-999999,1,1,1,0,-999999,98,2015,"11 12 13 14 21 22 23 52 54 55","",-999999,1,1,1,1,-999999,-999999,-999999,"12 13 21 22 23 24 54","",7,vsg_03_01_re,20,20,5,20,15,1,4,7,5,0,0,0,0,0,40.0000000000,30.0000000000,10.0000000000,4,-999999,2,"",4,"",7,"",1,2,"",1,0,"3 4","",-999999,1,1,"1 2 3 4",1,0,"","",-999999,-999999,1,1,1,1,0,1,1,1,2,1,1,"",-999999,3,3,3,-999999,-999999,4,4,4,5,2,2,4,4,-999999,2,4,4,5,5,4,5,vsg_control_2,13.4751500000,-13.8629217000,6.0000000000,46.5216601537,1,"",1,2,"",1469712414835_SIE0,1469749412632_SFE0,uuid:ce4a2887-82c4-4950-8b22-522cfd3ce2e2,"VSG_G1_83212_Koina_enum025_28/07/2016 11:56:11"
11,uuid:d0a8514f-0b16-4c30-a033-1ad4094358cb,1607250947,"2016-08-02 16:33:44","2016-08-02 16:33:44","2016-07-30 16:53:43","2016-08-01 04:41:45",60c490356470b28f,"","","","30/07/2016 10:53:43","",60c490356470b28f,"ML_VSG_Village_Support_G1_30/07/2016 10:53:43","ML_VSG_Village_Support_G1_30/07/2016 10:53:43",enum037,2,7,65,61208,62,"Tento Madi Secka /Tento Chebo",-999999,1,-999999,-999999,1,"",3,"",2,54,38,11,"","","","",2,4,-999999,3,5,0,8,"","","","",vsg_01_13_1,2,1,8,3,8,3,1,0,"","","","",0,1,1,-999999,1,1,0,1,-999999,4,2016,"11 12 21 40 52","",-999999,1,0,1,0,-999999,-999999,-999999,"12 21 30 51 52 54 96","RCH clinic attendants",7,vsg_03_01_re,2,1,0,0,0,1,1,0,1,0,0,0,0,0,40.0000000000,50.0000000000,40.0000000000,4,-999999,2,"",7,"",96,"Cleansing exercise materials.",0,"","","","","","",-999999,1,1,2,1,1,96,"Group bokulegaie",-999999,-999999,1,0,"",1,1,0,"","","","","","",-999999,1,1,1,-999999,-999999,5,4,5,5,3,3,4,5,-999999,3,5,5,5,5,5,5,vsg_control_2,13.7813673000,-15.0891209000,9.0000000000,69.4000015259,1,"",1,3,"","1469878278478_SIE0 1469955931668_SIE0",1470001304033_SFE0,uuid:d0a8514f-0b16-4c30-a033-1ad4094358cb,"VSG_G1_61208_Tento Madi Secka /Tento Chebo_enum037_30/07/2016 10:53:43"
12,uuid:f0d43215-ac3f-479e-a13d-94d5d6801c65,1607250947,"2016-08-05 00:28:28","2016-08-05 00:28:28","2016-07-31 21:46:29","2016-08-04 22:57:58",e498517eb574b26b,"","","","31/07/2016 15:46:28","",e498517eb574b26b,"ML_VSG_Village_Support_G1_31/07/2016 15:46:28","ML_VSG_Village_Support_G1_31/07/2016 15:46:28",enum036,2,8,48,71113,46,"Jamal Kerr Katim",-999999,1,-999999,-999999,1,"",3,"",2,66,66,11,"","","","",2,7,-999999,3,5,1,8,1,-999999,-999999,1,vsg_01_13_1,3,1,8,2,8,5,1,0,"","","","",0,2,1,-999999,1,1,0,1,-999999,6,2016,"14 51 52 53 55","",-999999,1,0,0,0,-999999,-999999,-999999,"12 13 21 30 51 52 54 55","",8,vsg_03_01_re,6,4,0,0,4,1,3,0,1,1,0,0,0,0,50.0000000000,50.0000000000,50.0000000000,4,-999999,3,"",7,"",8,"",1,5,"",1,0,1,"",-999999,1,1,2,1,1,4,"",-999999,-999999,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vsg_control_2,13.5906546000,-15.1855494100,18.0000000000,30.3999996185,1,"",1,3,"","1469980748303_SIE0 1469991153948_SIE0",1470326277388_SFE0,uuid:f0d43215-ac3f-479e-a13d-94d5d6801c65,"VSG_G1_71113_Jamal Kerr Katim_enum036_31/07/2016 15:46:28"
13,uuid:ff728b97-aad3-463e-bc2b-82f35601fad0,1607250947,"2016-08-05 00:26:09","2016-08-05 00:26:09","2016-07-30 22:18:38","2016-07-30 23:33:34",e498517eb574b26b,"","","","30/07/2016 16:18:37","",e498517eb574b26b,"ML_VSG_Village_Support_G1_30/07/2016 16:18:37","ML_VSG_Village_Support_G1_30/07/2016 16:18:37",enum036,2,8,52,71119,50,Papa,-999999,1,-999999,-999999,1,"",3,"",2,35,5,11,"","","","",2,5,-999999,3,5,0,8,"","","","",vsg_01_13_1,3,1,8,4,8,7,1,1,7000,2,"",1,1,1,1,-999999,1,1,1,1,-999999,3,2015,"11 12 13 14 15 21 22 23 24 30 40 51 52 53 54 55","",-999999,1,1,1,1,-999999,-999999,-999999,"11 12 13 14 21 22 23 24 30 40 51 52 54 55","",14,vsg_03_01_re,1,1,1,0,0,1,4,0,0,0,0,0,0,0,50.0000000000,50.0000000000,50.0000000000,1,-999999,2,"",1,"",96,None,1,2,"",1,0,"2 4 6","",-999999,1,1,1,0,1,4,"",-999999,-999999,1,1,1,1,1,1,1,1,1,1,2,"",-999999,3,3,3,-999999,-999999,5,5,5,5,5,1,5,5,-999999,1,5,5,5,5,5,5,vsg_control_2,13.6113804000,-15.2448164000,8.0000000000,50.0999984741,1,"",1,4,"",1469894095248_SIE0,1469896413115_SFE0,uuid:ff728b97-aad3-463e-bc2b-82f35601fad0,"VSG_G1_71119_Papa_enum036_30/07/2016 16:18:37"
